"0","1"
"United_States","World"
"Cuba","World"
"Jamaica","World"
"India","World"
"?","World"
"Mexico","World"
"South","World"
"Puerto_Rico","World"
"Honduras","World"
"England","World"
"Canada","World"
"Germany","World"
"Iran","World"
"Philippines","World"
"Italy","World"
"Poland","World"
"Columbia","World"
"Cambodia","World"
"Thailand","World"
"Ecuador","World"
"Laos","World"
"Taiwan","World"
"Haiti","World"
"Portugal","World"
"Dominican_Republic","World"
"El_Salvador","World"
"France","World"
"Guatemala","World"
"China","World"
"Japan","World"
"Yugoslavia","World"
"Peru","World"
"Outlying_US(Guam_USVI_etc)","World"
"Scotland","World"
"Trinadad&Tobago","World"
"Greece","World"
"Nicaragua","World"
"Vietnam","World"
"Hong","World"
"Ireland","World"
"Hungary","World"
"Holand_Netherlands","World"
